prot_1	0
prot_10	1
prot_100	0
prot_1000	0
prot_10000	1
prot_10001	0
prot_10002	0
prot_10003	1
prot_10004	1
prot_10005	1
prot_10006	0
prot_10007	0
prot_10008	1
prot_10009	0
prot_1001	0
prot_10010	1
prot_10011	1
prot_10012	1
prot_10013	1
prot_10014	1
prot_10015	0
prot_10016	0
prot_10017	0
prot_10018	0
prot_10019	1
prot_1002	0
prot_10020	0
prot_10021	1
prot_10022	0
prot_10023	0
prot_10024	1
prot_10025	0
prot_10026	0
prot_10027	0
prot_10028	1
prot_10029	0
prot_1003	0
prot_10030	1
prot_10031	1
prot_10032	1
prot_10033	0
prot_10034	0
prot_10035	1
prot_10036	1
prot_10037	1
prot_10038	1
prot_10039	1
prot_1004	0
prot_10040	0
prot_10041	0
prot_10042	0
prot_10043	0
prot_10044	0
prot_10045	1
prot_10046	1
prot_10047	0
prot_10048	1
prot_10049	1
prot_1005	0
prot_10050	1
prot_10051	0
prot_10052	0
prot_10053	1
prot_10054	0
prot_10055	1
prot_10056	1
prot_10057	1
prot_10058	0
prot_10059	1
prot_1006	1
prot_10060	1
prot_10061	0
prot_10062	0
prot_10063	0
prot_10064	1
prot_10065	1
prot_10066	1
prot_10067	0
prot_10068	0
prot_10069	1
prot_1007	0
prot_10070	1
prot_10071	0
prot_10072	0
prot_10073	0
prot_10074	0
prot_10075	1
prot_10076	1
prot_10077	1
prot_10078	0
prot_10079	1
prot_1008	1
prot_10080	0
prot_10081	0
prot_10082	1
prot_10083	0
prot_10084	1
prot_10085	1
prot_10086	1
prot_10087	1
prot_10088	1
prot_10089	0
prot_1009	0
prot_10090	0
prot_10091	0
prot_10092	1
prot_10093	1
prot_10094	0
prot_10095	1
prot_10096	0
prot_10097	0
prot_10098	0
prot_10099	0
prot_101	0
prot_1010	1
prot_10100	0
prot_10101	1
prot_10102	1
prot_10103	1
prot_10104	1
prot_10105	1
prot_10106	1
prot_10107	0
prot_10108	1
prot_10109	0
prot_1011	0
prot_10110	0
prot_10111	1
prot_10112	0
prot_10113	1
prot_10114	0
prot_10115	0
prot_10116	0
prot_10117	0
prot_10118	0
prot_10119	1
prot_1012	0
prot_10120	0
prot_10121	0
prot_10122	0
prot_10123	0
prot_10124	0
prot_10125	1
prot_10126	1
prot_10127	1
prot_10128	0
prot_10129	0
prot_1013	0
prot_10130	1
prot_10131	1
prot_10132	1
prot_10133	1
prot_10134	1
prot_10135	1
prot_10136	1
prot_10137	1
prot_10138	1
prot_10139	1
prot_1014	0
prot_10140	1
prot_10141	0
prot_10142	1
prot_10143	0
prot_10144	1
prot_10145	0
prot_10146	0
prot_10147	1
prot_10148	0
prot_10149	1
prot_1015	0
prot_10150	1
prot_10151	0
prot_10152	0
prot_10153	1
prot_10154	1
